generation,genome_hash,fidelity,family,horizon,n_features,score,sharpe_prevault,n_days,data_hash,panel_hash,config_hash,platform,parent_hash,birth_gen
2,9353d613c7d3,F0,seasonal_rule,63,0,0.7353360523628293,0.7353360523628293,3772,0787df358a6d84dc,12cefe17953efabb,1434ad9ce10cb1f6,x86_64linux,b5efe2549ec6,1
2,35d85a0408d2,F0,seasonal_rule,21,0,0.5610398450641833,0.5610398450641833,3772,0787df358a6d84dc,12cefe17953efabb,1434ad9ce10cb1f6,x86_64linux,b5efe2549ec6,1
2,b5efe2549ec6,F0,seasonal_rule,63,0,0.5610398450641833,0.5610398450641833,3772,0787df358a6d84dc,12cefe17953efabb,1434ad9ce10cb1f6,x86_64linux,,0
2,b2bb6b83157d,F0,seasonal_rule,63,0,0.3846786290635671,0.3846786290635671,3772,0787df358a6d84dc,12cefe17953efabb,1434ad9ce10cb1f6,x86_64linux,b454e881a1fc,2
2,4e873b911375,F0,seasonal_rule,21,0,0.7353360523628293,0.7353360523628293,3772,0787df358a6d84dc,12cefe17953efabb,1434ad9ce10cb1f6,x86_64linux,9353d613c7d3,2
2,94e0bc9e9cfd,F0,seasonal_rule,63,0,0.3631315644940241,0.3631315644940241,3772,0787df358a6d84dc,12cefe17953efabb,1434ad9ce10cb1f6,x86_64linux,9353d613c7d3,2
2,2caf8739fbee,F0,seasonal_rule,63,0,0.7718862245446427,0.7718862245446427,3772,0787df358a6d84dc,12cefe17953efabb,1434ad9ce10cb1f6,x86_64linux,9353d613c7d3,2
2,d9640520052f,F0,seasonal_rule,63,0,0.6407286946179744,0.6407286946179744,3772,0787df358a6d84dc,12cefe17953efabb,1434ad9ce10cb1f6,x86_64linux,b454e881a1fc,2
2,2acc5486e987,F0,seasonal_rule,21,0,0.7478687403468741,0.7478687403468741,3772,0787df358a6d84dc,12cefe17953efabb,1434ad9ce10cb1f6,x86_64linux,35d85a0408d2,2
2,06c8b07af76d,F0,ridge,63,13,-0.5109512145472441,-0.38095121454724407,3187,0787df358a6d84dc,12cefe17953efabb,1434ad9ce10cb1f6,x86_64linux,,2
2,e1a1cc5495dc,F0,seasonal_rule,10,0,0.7084214201584237,0.7084214201584237,3772,0787df358a6d84dc,12cefe17953efabb,1434ad9ce10cb1f6,x86_64linux,,2
2,cc616cc94725,F0,meanrev_rule,10,0,-1.0212160929729628,-1.0212160929729628,3772,0787df358a6d84dc,12cefe17953efabb,1434ad9ce10cb1f6,x86_64linux,,2
2,2caf8739fbee,F1,seasonal_rule,63,0,0.9890070760099324,0.9890070760099324,5285,0787df358a6d84dc,12cefe17953efabb,1434ad9ce10cb1f6,x86_64linux,9353d613c7d3,2
2,2acc5486e987,F1,seasonal_rule,21,0,0.9830187823981078,0.9830187823981078,5285,0787df358a6d84dc,12cefe17953efabb,1434ad9ce10cb1f6,x86_64linux,35d85a0408d2,2
2,4e873b911375,F1,seasonal_rule,21,0,0.8972279265099716,0.8972279265099716,5285,0787df358a6d84dc,12cefe17953efabb,1434ad9ce10cb1f6,x86_64linux,9353d613c7d3,2
2,9353d613c7d3,F1,seasonal_rule,63,0,0.8972279265099716,0.8972279265099716,5285,0787df358a6d84dc,12cefe17953efabb,1434ad9ce10cb1f6,x86_64linux,b5efe2549ec6,1
2,e1a1cc5495dc,F1,seasonal_rule,10,0,0.9265322114889073,0.9265322114889073,5285,0787df358a6d84dc,12cefe17953efabb,1434ad9ce10cb1f6,x86_64linux,,2
2,d9640520052f,F1,seasonal_rule,63,0,0.9397243650601909,0.9397243650601909,5285,0787df358a6d84dc,12cefe17953efabb,1434ad9ce10cb1f6,x86_64linux,b454e881a1fc,2
2,35d85a0408d2,F1,seasonal_rule,21,0,0.7906319196041535,0.7906319196041535,5285,0787df358a6d84dc,12cefe17953efabb,1434ad9ce10cb1f6,x86_64linux,b5efe2549ec6,1
2,b5efe2549ec6,F1,seasonal_rule,63,0,0.7906319196041535,0.7906319196041535,5285,0787df358a6d84dc,12cefe17953efabb,1434ad9ce10cb1f6,x86_64linux,,0
3,2caf8739fbee,F0,seasonal_rule,63,0,0.7718864338807782,0.7718864338807782,3772,4082c5de76861c88,0e6f6bf60983709f,1434ad9ce10cb1f6,x86_64linux,9353d613c7d3,2
3,2acc5486e987,F0,seasonal_rule,21,0,0.747868246331163,0.747868246331163,3772,4082c5de76861c88,0e6f6bf60983709f,1434ad9ce10cb1f6,x86_64linux,35d85a0408d2,2
3,d9640520052f,F0,seasonal_rule,63,0,0.640729332973781,0.640729332973781,3772,4082c5de76861c88,0e6f6bf60983709f,1434ad9ce10cb1f6,x86_64linux,b454e881a1fc,2
3,1c27906465a1,F0,seasonal_rule,21,0,0.747868246331163,0.747868246331163,3772,4082c5de76861c88,0e6f6bf60983709f,1434ad9ce10cb1f6,x86_64linux,2acc5486e987,3
3,d311a5fd6e9c,F0,seasonal_rule,21,0,0.7773660539744286,0.7773660539744286,3772,4082c5de76861c88,0e6f6bf60983709f,1434ad9ce10cb1f6,x86_64linux,2acc5486e987,3
3,e46d69f27eb7,F0,seasonal_rule,21,0,0.5663825858259978,0.5663825858259978,3772,4082c5de76861c88,0e6f6bf60983709f,1434ad9ce10cb1f6,x86_64linux,2acc5486e987,3
3,de8bfdd03738,F0,seasonal_rule,63,0,0.7718864338807782,0.7718864338807782,3772,4082c5de76861c88,0e6f6bf60983709f,1434ad9ce10cb1f6,x86_64linux,2caf8739fbee,3
3,6ca593e62ade,F0,seasonal_rule,21,0,0.5999835355810458,0.5999835355810458,3772,4082c5de76861c88,0e6f6bf60983709f,1434ad9ce10cb1f6,x86_64linux,2acc5486e987,3
3,73d61174ba66,F0,logistic,63,6,-0.7664012397935833,-0.7064012397935833,3187,4082c5de76861c88,0e6f6bf60983709f,1434ad9ce10cb1f6,x86_64linux,2caf8739fbee,3
3,4944e7d6434b,F0,logistic,63,4,-0.47304193746548473,-0.43304193746548475,3187,4082c5de76861c88,0e6f6bf60983709f,1434ad9ce10cb1f6,x86_64linux,,3
3,bbb40a5f8845,F0,hgb,10,14,0.3961052567250971,0.5361052567250971,3240,4082c5de76861c88,0e6f6bf60983709f,1434ad9ce10cb1f6,x86_64linux,,3
3,08e4b70c61ed,F0,hgb,5,9,-0.6790933012652948,-0.5890933012652948,3245,4082c5de76861c88,0e6f6bf60983709f,1434ad9ce10cb1f6,x86_64linux,,3
3,d311a5fd6e9c,F1,seasonal_rule,21,0,0.9677801247333678,0.9677801247333678,5285,4082c5de76861c88,0e6f6bf60983709f,1434ad9ce10cb1f6,x86_64linux,2acc5486e987,3
3,2caf8739fbee,F1,seasonal_rule,63,0,0.9890071182206912,0.9890071182206912,5285,4082c5de76861c88,0e6f6bf60983709f,1434ad9ce10cb1f6,x86_64linux,9353d613c7d3,2
3,de8bfdd03738,F1,seasonal_rule,63,0,0.9890071182206912,0.9890071182206912,5285,4082c5de76861c88,0e6f6bf60983709f,1434ad9ce10cb1f6,x86_64linux,2caf8739fbee,3
3,1c27906465a1,F1,seasonal_rule,21,0,0.983076829632804,0.983076829632804,5285,4082c5de76861c88,0e6f6bf60983709f,1434ad9ce10cb1f6,x86_64linux,2acc5486e987,3
3,2acc5486e987,F1,seasonal_rule,21,0,0.983076829632804,0.983076829632804,5285,4082c5de76861c88,0e6f6bf60983709f,1434ad9ce10cb1f6,x86_64linux,35d85a0408d2,2
3,d9640520052f,F1,seasonal_rule,63,0,0.9398727349022888,0.9398727349022888,5285,4082c5de76861c88,0e6f6bf60983709f,1434ad9ce10cb1f6,x86_64linux,b454e881a1fc,2
